LOG : TIME : 1698767168568 	 UUID : 1b4a7385-740b-43db-a7a3-461665035ef0 	 -> GET	undefined	/user 
LOG : TIME : 1698767205259 	 UUID : 3dc8ef38-7afc-4e79-bd63-888dd796b6f4 	 -> GET	undefined	/hello 
LOG : TIME : 1698767309323 	 UUID : 51f3bdc4-bf68-4050-9d82-194cd6963692 	 -> GET	undefined	/user/login 
LOG : TIME : 1698767346330 	 UUID : 7997af3a-18f0-4a4a-9eca-346e52a76c33 	 -> POST	undefined	/user/login 
LOG : TIME : 1698767377734 	 UUID : ab665062-2b78-4244-a958-07e6fac0bc7e 	 -> GET	undefined	/ 
LOG : TIME : 1698767378102 	 UUID : 718975d1-ed8a-4eb6-9803-28a539d6b37a 	 -> GET	undefined	/favicon.ico 
LOG : TIME : 1698767379551 	 UUID : e75c93fd-aa38-4395-8e4c-25fb3dc29e21 	 -> GET	undefined	/user/login 
LOG : TIME : 1698767428860 	 UUID : 112632e2-3b5c-4590-894a-6091eeace4b2 	 -> POST	http://localhost:3500	/user/login 
LOG : TIME : 1698767441085 	 UUID : 4dbdf978-b731-41ce-9889-42e4f3bf6d25 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698767464884 	 UUID : e4f6faf0-c253-4a64-a3f3-ce0693bb622f 	 -> POST	http://localhost:3500	/user/signup 
LOG : TIME : 1698767474322 	 UUID : e08c85d9-c856-4e8c-bdcf-2881f3148955 	 -> GET	undefined	/user/signup 
LOG : TIME : 1698767494715 	 UUID : 0a1e73ea-c631-449a-ad5e-6af96e9cad13 	 -> GET	undefined	/user/login 
LOG : TIME : 1698767498314 	 UUID : 25c72a57-3566-4ea4-bcec-c29a9599ff80 	 -> POST	http://localhost:3500	/user/login 
LOG : TIME : 1698767651460 	 UUID : 400a551a-c8a4-4c78-afd3-592cb7647d8d 	 -> POST	undefined	/user/login 
LOG : TIME : 1698767678294 	 UUID : dd66417b-ecb0-452a-9ef0-e78ef9cbe74d 	 -> GET	undefined	/hello 
LOG : TIME : 1698767680371 	 UUID : f27f3c91-8b29-4d04-9dc9-9ef3f67ec4bd 	 -> GET	undefined	/hello 
LOG : TIME : 1698767681199 	 UUID : 931d051c-f8c0-4f7d-b65f-cb8a48d72c39 	 -> GET	undefined	/hello 
LOG : TIME : 1698767682148 	 UUID : 1fa33515-da87-436c-ab54-97451480bb92 	 -> GET	undefined	/hello 
LOG : TIME : 1698767683149 	 UUID : 563cb86b-301d-4591-90f4-689eb3da74e0 	 -> GET	undefined	/hello 
LOG : TIME : 1698767684263 	 UUID : 2f5dab33-af14-4c3f-8e9d-3c04baa25052 	 -> GET	undefined	/hello 
LOG : TIME : 1698767685147 	 UUID : 243fa640-a833-4fd3-ac01-2bc07be9f5f3 	 -> GET	undefined	/hello 
LOG : TIME : 1698767686950 	 UUID : ae720d4c-d6e8-4e27-95e7-6edb04a96728 	 -> GET	undefined	/hello 
LOG : TIME : 1698767687883 	 UUID : 73bf5028-f466-4aa2-96bd-25dfd62b0ff3 	 -> GET	undefined	/hello 
LOG : TIME : 1698767690536 	 UUID : c7b706e7-7d8e-4619-be6b-ce75576224ec 	 -> GET	undefined	/hello 
LOG : TIME : 1698767691353 	 UUID : 790e6a6c-8c8c-402f-bfe8-cba394d1b28f 	 -> GET	undefined	/hello 
LOG : TIME : 1698767692198 	 UUID : 5cb2d751-85b2-4671-8ddf-8baa017fc340 	 -> GET	undefined	/hello 
LOG : TIME : 1698767693113 	 UUID : 3f8688a5-a641-4f3b-9536-340c47dab156 	 -> GET	undefined	/hello 
LOG : TIME : 1698767694114 	 UUID : 080369bc-333f-4cf0-924c-6b84291e64c6 	 -> GET	undefined	/hello 
LOG : TIME : 1698767694912 	 UUID : 8204fcfe-806d-4dc1-b9b9-027ddb1d8704 	 -> GET	undefined	/hello 
LOG : TIME : 1698767696061 	 UUID : b4fc49cf-37ba-40d0-a00b-7d506d6641b3 	 -> GET	undefined	/hello 
LOG : TIME : 1698767696997 	 UUID : 259311fa-be59-4ef1-8a74-5f26679c7387 	 -> GET	undefined	/hello 
LOG : TIME : 1698767697790 	 UUID : 2583950d-db18-405a-a44c-6003c843a5b9 	 -> GET	undefined	/hello 
LOG : TIME : 1698767699529 	 UUID : fb17ac8e-74bc-4862-81a8-622ab1fa4135 	 -> GET	undefined	/hello 
LOG : TIME : 1698767700167 	 UUID : db800ea6-0bdc-4998-84d7-326c920cc62f 	 -> GET	undefined	/hello 
LOG : TIME : 1698767700914 	 UUID : d3c67a72-8b6d-4fb6-ac19-5f8386fd82e6 	 -> GET	undefined	/hello 
